Weapon,Developed,Used By,Military Purpose,Type of Tech,Repurpose (Potential/Actual),Reference,Link,Source,URL,SourceType
Wolly,2022,"Ukraine, Roboneers, D3 (former Google employees, investors), Helsing (investors)",Automated machine guns “We could sit in the trench drinking coffee and smoking cigarettes and shoot at the Russians”,"Object identification, computer vision, repurposed video game controllers","Security systems, prisons, protests",[@mozurUkraineWarBegins2024],<a  target='_blank' rel='noopener noreferrer' href='https://www.nytimes.com/2024/07/02/technology/ukraine-war-ai-weapons.html'>NYT</a>,NYT,https://www.nytimes.com/2024/07/02/technology/ukraine-war-ai-weapons.html,Press
First-Person-View Drones,2022,"Ukraine, Vyriy, PG Robotics, Skyeton, Swarmer, others","Fully automated, weaponized drones, with automated targeting. Some can easily be built with hobby kit like materials.","Quads, computer vision, deep learning, classification and sorting algorithms","Personal drones, sports, already in use. Drones as local police first responders",[@mozurUkraineWarBegins2024],<a  target='_blank' rel='noopener noreferrer' href='https://www.nytimes.com/2024/07/02/technology/ukraine-war-ai-weapons.html'>NYT</a>,NYT,https://www.nytimes.com/2024/07/02/technology/ukraine-war-ai-weapons.html,Press
MAPLE,2022,United Kingdom,"Command and control platform for the UK Navy to control an automated fleet of unmanned air, ground, and water vehicles","Assign, task","Driver and delivery apps, logistics apps",[@fishMeetMAPLEBrain2022],<a  target='_blank' rel='noopener noreferrer' href='https://breakingdefense.com/2022/04/meet-maple-the-brain-that-will-run-the-uks-autonomous-naval-fleet/'>Breaking Defense</a>,Breaking Defense,https://breakingdefense.com/2022/04/meet-maple-the-brain-that-will-run-the-uks-autonomous-naval-fleet/,"Corporate, Press"
Mantacus,2022,"Mantacus, DIANA (NATO)","AI software continuously scans and tracks people on CCTV for possible concealed weapons, using radar signals.","Signal analysis, object detection, classification","Private security, crowd control, covert surveillance",[@],<a  target='_blank' rel='noopener noreferrer' href=''></a>,Mantacus,https://mantacus.com,Corporate
The Alchemist,2021,Israel,"Sends real-time data to commanders in field about possible threats, using machine learning","Transmit, analyse",As-yet unknown,[@ahronheimIsraelsOperationHamas2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.jpost.com/arab-israeli-conflict/gaza-news/guardian-of-the-walls-the-first-ai-war-669371'>Jerusalem Post</a>,Jerusalem Post,https://www.jpost.com/arab-israeli-conflict/gaza-news/guardian-of-the-walls-the-first-ai-war-669371,Press
Project Nimbus,2021,"Israel, Google, Amazon","Provides cloud services (storage, compute) ""Nimbus is a flagship project and a key anchor in the implementation of the Israeli Government’s cloud policy, and is intended to provide a comprehensive and in-depth solution to the provision of public cloud services to the Government, the defense establishment and other public organizations. [...] accelerating the Government’s digital transformation process, as well as improving the command, control and cyber defense capabilities of the government IT systems. ""","Cloud compute and storage, edge computing","Cloud compute and storage, edge computing",[@WorkersProjectNimbus],<a  target='_blank' rel='noopener noreferrer' href='https://news.techworkerscoalition.org/2022/09/06/issue-13/'>Tech Workers Coalition Newsletter</a>,Tech Workers Coalition Newsletter,https://news.techworkerscoalition.org/2022/09/06/issue-13/,"Press, Tenders"
Assault Rifle Combat Application System,2021,"Israel, Elbit Systems"," a gunsight sold by the Israeli defense firm Elbit Systems. According to a company spec sheet, the “AI-powered” device is capable of “human target detection” at a range of more than 600 yards, and human target “identification” (presumably, discerning whether a person is someone who could be shot) at about the length of a football field. Anna Ahronheim-Cohen, a spokesperson for the company, told MIT Technology Review, “The system has already been tested in real-time scenarios by fighting infantry soldiers.”","Pose estimation, object detection, AR","Video games: “We made it very intuitive so it looks like PlayStation’s Fortnite ; it shows range, wind and ammo left, etc.,” said Arie Chernobrov, general manager of Elbit Security Systems.",[@athertonThisHightechGunsight2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.popsci.com/technology/arcas-high-tech-gunsight/'>Popular Science</a>,Popular Science,https://www.popsci.com/technology/arcas-high-tech-gunsight/,Press
Lethal autonomous weapons (LAW),2021,"Libya, Azerbaijan (US, Turkey, Israeli-made), Russia (aka Kub & Lancet)","""“loitering munitions” — drones that can autonomously patrol an area and automatically divebomb enemy radar signals. These weapons look like smaller versions of the remote-controlled drones that have been used extensively by the U.S. military in Iraq, Afghanistan and other conflicts. Instead of launching missiles through remote control, though, loitering munitions have a built-in explosive and destroy themselves on impact with their target.""","Automated drones, hardware, geolocation",Consumer drones,[@vynckSaysHumansWill2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.washingtonpost.com/technology/2021/07/07/ai-weapons-us-military/'>Washington Post</a>,Washington Post,https://www.washingtonpost.com/technology/2021/07/07/ai-weapons-us-military/,"Government, Press"
Gotham,2021,"USA, Palantir","An ""AI-powered kill chain,"" this operating system identifies targets and pairs them with weapons. Its command center supports mixed reality and edge computing.","Sorting, identifying, data analysis, edge computing","Miscellaneous business to business applications, ""global project management""",[@palantirPalantirGothamDefense2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.palantir.com/platforms/gotham/'>Palantir</a>,Palantir,https://www.palantir.com/platforms/gotham/,Corporate
"Joint Warfighting Cloud Capability, JEDI",2021,"USA, Amazon, Microsoft, Google, Oracle, IBM","Multi-cloud provider for military use, including Unclassified, Secret and Top Secret (2021, 2019)","Storage, compute (calculation), ""Commercial Cloud Enterprise""","Cloud compute and storage, edge computing",[@harperPentagonCancelsJEDI2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.nationaldefensemagazine.org/articles/2021/7/6/pentagon-cancels-jedi-program-launches-new-cloud-computing-effort'>National Defense Magazine</a>,National Defense Magazine,https://www.nationaldefensemagazine.org/articles/2021/7/6/pentagon-cancels-jedi-program-launches-new-cloud-computing-effort,"Government, Press"
AI Verse,2021,"DIANA (NATO), AI Verse","Creates synthetic (generated) image datasets used for training AI to detect people, objects, and weapons",,,,,,,"Corporate, Government"
The Gospel (Habsora),2021,Israel,"Marks homes and public buildings as targets for destruction, for alleged military use, based on ""enormous amounts of data that “tens of thousands of intelligence officers could not process,” and recommends bombing sites in real time. Possible data includes: ""cell phone messages, satellite images, drone footage, and even seismic sensors.""","Classification, data analysis, object recognition","Redlining, unequal or biased distribution of resources",[@abrahamMassAssassinationFactory2023],<a  target='_blank' rel='noopener noreferrer' href='https://www.972mag.com/mass-assassination-factory-israel-calculated-bombing-gaza/'>972 Mag</a>,972 Mag,https://www.972mag.com/mass-assassination-factory-israel-calculated-bombing-gaza/,Press
(Mobile) Fortify,2020,"Corsight, Israel, US","Israel's military tech division Unit 8200 uses this facial recognition technology, supplemented by Google Photos, to identify and detain people in Gaza. It runs in parallel to Israel's Blue Wolf program in the West Bank.",Facial recognition,"US Immigration and Customs Enforcement (ICE) use Mobile Fortify app to indentify people using the nationwide IDENT biometric database (begun 1994, with data from customs, TSA, law enforcement, and elsewhere). Corsight lists other use cases as including airports, banking, construction, gaming, critical infrastructure, healthcare, prisons, smart cities, and transportation.",[@corsight],<a  target='_blank' rel='noopener noreferrer' href='https://www.corsight.ai'>Corsight</a>,Corsight.AI,https://corsight.ai,"Corporate, Government, Press, NGO"
Fire Weaver,2020,"Israel, Rafael","Sensor-to-Shooter System. ""The system connects all battlefield elements in real time and instantly selects the most relevant shooter for each target – enabling comprehensive situational awareness and simultaneous, precision strikes. Collecting, filtering, and disseminating data from multiple sources [...] – with details down to a specific window in a targeted building. Marking and sharing targets, enemy locations, blue forces, and POIs on all weapon sights""","Analyzing, filtering, real-time data",As-yet unknown,[@RafaelFIREWEAVER],<a  target='_blank' rel='noopener noreferrer' href='https://www.rafael.co.il/system/fireweaver/'>Rafael</a>,Rafael,https://www.rafael.co.il/system/fireweaver/,"Corporate, Press"
Fire Factory,2020,"Israel, Rafael","Calculates necessary bomb strength to destroy ""target"" and schedules aircraft to deliver it. ""uses data about military-approved targets to calculate munition loads, prioritize and assign thousands of targets to aircraft and drones, and propose a schedule.""","Sorting, tasking, assign",As-yet unknown,[@newmanIsraelQuietlyEmbeds2023],"<a  target='_blank' rel='noopener noreferrer' href='https://www.business-standard.com/world-news/israel-quietly-embeds-ai-systems-in-deadly-military-ops-as-tensions-surge-123071600147_1.html'>Bloomberg, Business Standard</a>","Bloomberg, Business Standard",https://www.business-standard.com/world-news/israel-quietly-embeds-ai-systems-in-deadly-military-ops-as-tensions-surge-123071600147_1.html,"Corporate, Press"
Vector,2020,"DIANA (NATO), Quantum Systems",Dual-use AI drone system (UAS) ,"Military surveillance, artillery fire, border patrol, mapping, and swarming","""Public safety applications include search and rescue, disaster management, live situational awareness, law enforcement, disaster control, and area surveillance."" ",[@QuantumSystems],<a  target='_blank' rel='noopener noreferrer' href='https://quantum-systems.com'>Quantum Systems</a>,Quantum Systems,https://quantum-systems.com,"Corporate, Government"
Dialect Recognition Software (DIAS),2019,Germany,"Determines ""authenticity"" of migrants' claims to refugee status via computer voice analysis, used by the German Federal Asylum Agency. Claims to detect accent (""language biometry"") despite high error rate.","Voice recognition, telephone audio datasets","Voice print for identification, verification, entry, and residency permit",[@lulamaeBAMFsControversialDialect],<a  target='_blank' rel='noopener noreferrer' href='https://algorithmwatch.org/en/bamf-dialect-recognition/'>Algorithm Watch</a>,Algorithm Watch,https://algorithmwatch.org/en/bamf-dialect-recognition/,"Academic, NGO, Press"
Automated Facial Recognition System (AFRS),2019,India,Facial recognition used for missing children,Facial recognition,Repurposed for surveillance and crackdowns of peaceful protests,[@PrivacyFearsIndia2019],<a  target='_blank' rel='noopener noreferrer' href='https://www.aljazeera.com/news/2019/12/30/privacy-fears-as-india-police-use-facial-recognition-at-rally'>Al Jazeera</a>,Al Jazeera,https://www.aljazeera.com/news/2019/12/30/privacy-fears-as-india-police-use-facial-recognition-at-rally,Press
"Starshield, Starlink","2024, 2019","USA, Ukraine, SpaceX","Swarming spy satellites, imaging, reconnaisance",Infrastructure,Commercially available internet access,[@taylorExclusiveMusksSpaceX2024],<a  target='_blank' rel='noopener noreferrer' href='https://www.reuters.com/technology/space/musks-spacex-is-building-spy-satellite-network-us-intelligence-agency-sources-2024-03-16/'>Reuters</a>,Reuters,https://www.reuters.com/technology/space/musks-spacex-is-building-spy-satellite-network-us-intelligence-agency-sources-2024-03-16/,Press
Pantsir-SM,2019,Russia,"Modifications of existing air defense systems incorporate algorithms to orient, detect, and categorize targets by degree of danger, select a method for defense, ""then open fire without human intervention.""","Classify, identify",As-yet unknown,[@hynekMilitarizingArtificialIntelligence2022],"<a  target='_blank' rel='noopener noreferrer' href='http://doi:10.4324/9781003045489 '>Hynek, Solovyeva (2022)</a>","Hynek, Solovyeva (2022)",http://doi:10.4324/9781003045489 ,Academic
Red Wolf,2018,Israel,"Monitors and controls people's movement using facial recognition, scanning all faces that pass through military checkpoints","Facial recognition, camera infrastructure","Dating apps, photo library search, local policing, traffic tickets (BBC), public event security",[@IsraelUsingPreviouslyunreported],<a  target='_blank' rel='noopener noreferrer' href='https://www.amnesty.org.uk/files/2023-05/Automated%20Apartheid.pdf'>Amnesty Int</a>,Amnesty Int,https://www.amnesty.org.uk/files/2023-05/Automated%20Apartheid.pdf,"NGO, Press"
Blue Wolf,2018,Israel,Lets soldiers instantly access and add to face recognition human database (Wolf Pack) via app,"App interface, facial recognition","Border patrol, security, restriction of movement",[@IsraelUsingPreviouslyunreported],<a  target='_blank' rel='noopener noreferrer' href='https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid'>Amnesty Int</a>,Amnesty Int,https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid,"NGO, Press"
Wolf Pack,2018,Israel,"""Vast database containing all available information on Palestinians from the Occupied Palestinian Territories, including places of residence, family members and whether they are wanted for questioning by the Israeli authorities.""","Database, data aggregation","Social credit systems, biased allocation of resources",[@IsraelUsingPreviouslyunreported],<a  target='_blank' rel='noopener noreferrer' href='https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid'>Amnesty Int</a>,Amnesty Int,https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid,"NGO, Press"
Mabat 2000,2018,"Israel, TKH Security (Dutch), Hikvision (China)",Infrastructure of surveillance cameras in occupied territories and illegally annexed areas that support the Wolf systems ~2 cameras every 5 meters,Cameras,Existing infrastructure to build AI systems on top of,[@IsraelUsingPreviouslyunreported],<a  target='_blank' rel='noopener noreferrer' href='https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid'>Amnesty Int</a>,Amnesty Int,https://www.amnesty.org.uk/press-releases/israel-using-previously-unreported-facial-recognition-system-automate-apartheid,"NGO, Press"
Urban Reconnaissance through Supervised Autonomy (URSA),2018,USA,"""enabled robots and drones to act as forward observers for platoons in urban operations. After input from the project's advisory group on ethical and legal issues, it was decided that the software would only ever designate people as ""persons of interest."" ""DARPA program to enable improved techniques for rapidly discriminating hostile intent and filtering out threats in complex urban environments"" ""combining new knowledge about human behaviors, autonomy algorithms, integrated sensors, multiple sensor modalities, and measurable human responses to discriminate the subtle differences between hostile and innocent people""","Sorting, identifying, data analysis, behavior analysis",Suggested as drones to patrol cities,[@UrbanReconnaissanceSupervised],<a  target='_blank' rel='noopener noreferrer' href='https://www.darpa.mil/program/urban-reconnaissance-through-supervised-autonomy'>DARPA</a>,DARPA,https://www.darpa.mil/program/urban-reconnaissance-through-supervised-autonomy,Government
Sentry,2017,"Anduril, USA, Israel","""Sentry Tower provides clear, long range surveillance of ground-based objects of interest day or night."" ""Virtual border walls""","Sensors, radar,Lidar, satellite signals, edge computing, AI analysis, infrastructure, ",US Customs and Border Patrol,[@x26yearoldBillionaireBuilding2019],<a  target='_blank' rel='noopener noreferrer' href='https://www.latimes.com/business/story/2019-07-25/anduril-profile-palmer-luckey-border-controversy'>LATimes</a>,LA Times,https://www.latimes.com/business/story/2019-07-25/anduril-profile-palmer-luckey-border-controversy,"Corporate, Press"
TacNet,2017,"Germany, Rheinmetall","""command and control application"" including digital  force deployment using AI to decide where and when to place troops. ""By analyzing geo data and the monitored situation on the battlefield, the system automatically provides positions to achieve the mission objective and to eliminate potential risks. Command selects according the strategic approach and hand over information directly to his team. [...] Accelerate decision making process through AI. Share positions in real time to achieve your mission objectives as quickly as possible""","Geolocation, object detection",Tasking and tracking gig workers,[@RheinmetallDigitalForces],<a  target='_blank' rel='noopener noreferrer' href='https://www.rheinmetall.com/en/products/digital-forces/digital-forces/digital-forces-land'>Rheinmetall</a>,Rheinmetall,https://www.rheinmetall.com/en/products/digital-forces/digital-forces/digital-forces-land,Corporate
Bylina,2017,"Russia, Syria","Reportedly tested in Ukraine and Syria, this system can independently evaluate the battlefield situation and calculate how to attack structures.","Info synthesis, predict, assign",As-yet unknown,[@penatiUseArtificialIntelligence2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.genocideprevention.eu/en/publications/323-on-the-use-of-artificial-intelligence-in-the-framework-of-the-syrian-war'>Penati and Nunes</a>,Penati and Nunes,https://www.genocideprevention.eu/en/publications/323-on-the-use-of-artificial-intelligence-in-the-framework-of-the-syrian-war,Academic
Maven Smart System,2017,"USA, Google, Microsoft, Verizon, Facebook, Skype, YouTube, Apple, Yahoo, etc., later Palantir","The results of the widely publicized PROJECT MAVEN, this platform automates target identification from satellite images, using AI image classification. Object detection from satellite images to destroy ground targets. ""a Pentagon program that developed target recognition algorithms for video footage from drones"" ""Through Maven Smart System, software and advanced digital capabilities act as the connective tissue between operators and sensor feeds, platforms (hardware and software), and algorithms. These AI-enabled capabilities drastically enhance the speed and accuracy of software-enabled workflows, improving operational decision-making through human-machine teaming.""","Object detection, computer vision, data processing","Mapping, location confirmation, surveillance",[@michelMessyEthicsMaking2023],<a  target='_blank' rel='noopener noreferrer' href='https://www.technologyreview.com/2023/08/16/1077386/war-machines/'>MIT Tech Review</a>,MIT Tech Review,https://www.technologyreview.com/2023/08/16/1077386/war-machines/,Press
PackBot,2016,Arlington Capital Partners (iRobot),"Search and rescue, and bomb disposal robot","Site mapping, sensors",Roomba,[@swearingenHowRoombaCompany2018],<a  target='_blank' rel='noopener noreferrer' href='https://nymag.com/intelligencer/2018/12/why-the-roomba-company-stopped-making-bots-for-the-military.html'>New York Magazine</a>,New York Magazine,https://nymag.com/intelligencer/2018/12/why-the-roomba-company-stopped-making-bots-for-the-military.html,Press
GIS Arta,2014,Ukraine,"Pairs a battlefield target to an artillery unit (""like Uber rider to driver""","Tasking, sorting","Driver and delivery apps, logistics apps",[@michelMessyEthicsMaking2023],<a  target='_blank' rel='noopener noreferrer' href='https://www.technologyreview.com/2023/08/16/1077386/war-machines/'>MIT Tech Review</a>,MIT Tech Review,https://www.technologyreview.com/2023/08/16/1077386/war-machines/,Press
IrisGuard,2013,"Jordan, UNHCR, IrisGuard Inc","Iris scanning biometric hardware, software, and storage","Iris scanning biometric hardware, software, and storage","""Blue-Collar Salary Assurance, Mobile Wallets, SIM Card Registration, Digital ID, Elections, Work Visa Validation, Notary Public, Document Delivery, Medical Education Exams, Electronic Medical Record, Patient Reunite Service, Clinical Research, Pension & Social Welfare, Cash, Food and NFI Assistance, Card Validation, Border Control & eGates""",[@dongusRefugeeCampsProving2018],<a  target='_blank' rel='noopener noreferrer' href='https://ars.electronica.art/aeblog/en/2018/08/27/ariana-dongus/'>Ars Electronica</a>,Ars Electronica,https://ars.electronica.art/aeblog/en/2018/08/27/ariana-dongus/,"Academic, Press"
Skynet (US),2012,USA,"""uses phone location and call metadata from bulk phone call records to detect suspicious patterns in the physical movements of suspects and their communication habits, according to a 2012 government presentation The Intercept obtained from Edward Snowden. The presentation indicates that Skynet looks for terrorist connections based on questions such as “who has traveled from Peshawar to Faisalabad or Lahore (and back) in the past month? Who does the traveler call when he arrives?” It also looks for suspicious behaviors such as someone who engages in “excessive SIM or handset swapping"" or receives “incoming calls only."" The goal is to identify people who move around in a pattern similar to Al Qaeda couriers who are used to pass communication and intelligence between the group's senior leaders. "" ","Filtering, sorting, pattern matching",Leads to AI-DSS used above ^^,[@zetterNSAHasActual2015],<a  target='_blank' rel='noopener noreferrer' href='https://www.wired.com/2015/05/nsa-actual-skynet-program/'>WIRED</a>,WIRED,https://www.wired.com/2015/05/nsa-actual-skynet-program/,Press
"Robot Riot Control, Prison Guard",2011,"China, South Korea","""3D depth cameras, a two-way wireless communication system, and software capable of recognizing certain human behavior patterns""","Behavior pattern detection, motion tracking, pose detection",Private security robots (in use in US cities),[@WhereDrawLine2020],<a  target='_blank' rel='noopener noreferrer' href='https://paxforpeace.nl/wp-content/uploads/sites/2/import/import/pax-report-where-to-draw-the-line.pdf'>PAX for Peace</a>,PAX for Peace,https://paxforpeace.nl/wp-content/uploads/sites/2/import/import/pax-report-where-to-draw-the-line.pdf,Academic
Pegasus,2011,Many countries,"Access mobile phones via spyware, targeted journalists, activists, dissidents, heads of state","Cyber weapon, spyware",Continued personal data surveillance,[@priestPrivateIsraeliSpyware2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.washingtonpost.com/investigations/interactive/2021/nso-spyware-pegasus-cellphones/'>Washington Post</a>,Washington Post,https://www.washingtonpost.com/investigations/interactive/2021/nso-spyware-pegasus-cellphones/,"Academic, Corporate, Press"
"Sentry-Tech, Super Aegis III, Sentry Robot",2010,"South Korea, Israel","""""An automated gun turret that can be mounted with a 12.7 mm (.50 in) machine gun, automatic 40 mm grenade launcher, or portable surface-to-air missile. With a detection range of 2.2 km in total darkness, utilising IR thermal sensors, colour camera with 30x magnification, laser illuminator and laser range finder. Automated detection, tracking, targeting and manual or automated firing. Although not initially designed to include manual functions, there is a requirement for manual input that permits the turret to shoot. Currently the weapon has no way to distinguish between friend or foe. “The system’s highly accurate target engagement and auto-tracking capabilities, combined with accurate stabilisation mechanism, enable superior performance under the most adverse conditions”. “Once IDF sensors locate a potential target, the operator can cue Sentry Tech to verify or engage the target through its own electro-optic (EO) day/night sensor package. The sensor-acquired information is transferred to the electro-optic package of the weapon station, which slews to the target, enabling the operator to locate and track the target”. “Sources at Rafael say that the company is now developing an autonomous “see shoot” system which will not require human intervention."" Autonomous ""As early as 2010, the arms division of South Korean tech giant Samsung built autonomous sentry guns that use image recognition to spot humans and fire at them. Similar sentry guns have been deployed by Israel on its border with the Gaza Strip. Both governments say the weapons are controlled by humans, though the systems are capable of operating on their own.","Optical sensors, thermal sensors, tracking, automated firing. Connected to gun turrets",Automatic security cameras and sensor activated tech,[@vynckSaysHumansWill2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.washingtonpost.com/technology/2021/07/07/ai-weapons-us-military/'>Washington Post</a>,Washington Post,https://www.washingtonpost.com/technology/2021/07/07/ai-weapons-us-military/,Press
PRISM/XKEYSCORE,2007,"USA, Google, Microsoft, Verizon, Facebook, Skype, YouTube, Apple, Yahoo, etc.",Used the US Foreign Intelligence Surveillance Act to collect and store massive amounts of internet data on citizens,"Storage, data collection",Common data privacy breaches and personal surveillance in collaboration with private companies,[@nakashimaNSASurveillanceProgram2021],<a  target='_blank' rel='noopener noreferrer' href='https://www.washingtonpost.com/national-security/nsa-surveillance-xkeyscore-privacy/2021/06/29/b2134e7a-d685-11eb-a53a-3b5450fdca7a_story.html'>Washington Post</a>,Washington Post,https://www.washingtonpost.com/national-security/nsa-surveillance-xkeyscore-privacy/2021/06/29/b2134e7a-d685-11eb-a53a-3b5450fdca7a_story.html,"Government, Press"
DynaSpeak,2006,"SRI, USA","Speech recognition engine, used in IraqComm speech translation system, provides speech-to-speech machine translation of English–Arabic for US forces in Iraq.","Speech recognition, speech synthesis, machine translation ""trained to handle topics of tactical importance""",They also offer the EduSpeak toolkit for developers of second-language learning tools.,[@frandsenIraqCommFlexTransSpeech2010],<a  target='_blank' rel='noopener noreferrer' href='https://link.springer.com/10.1007/978-90-481-3658-2_92'>Sobh et al</a>,Sobh et al,https://link.springer.com/10.1007/978-90-481-3658-2_92,"Academic, Corporate"
